locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
Vor Frue Kirkegård (Aalborg),57.05,9.92,32,73,977,525,73-977 BP,"1240k,ho",CGG100317.SG;CGG100336.SG;CGG100341.SG;CGG100415.SG;CGG100431.SG;CGG100434.SG;CGG100441.SG;CGG100442.SG;CGG100445.SG;CGG100447.SG;CGG100451.SG;CGG100452.SG;CGG100453.SG;CGG100454.SG;CGG100456.SG;CGG100460.SG;CGG100472.SG;CGG100481.SG;CGG100492.SG;CGG100493.SG;CGG100497.SG;CGG100498.SG;CGG100501.SG;CGG100507.SG;CGG100510.SG;CGG100512.SG;CGG100513.SG;CGG100519.SG;CGG100530.SG;CGG100535.SG;CGG100539.SG;CGG100545.SG
Tjærby (Randers Municipality),56.47,10.1,28,542,974,758,542-974 BP,"1240k,ho",CGG100651.SG;CGG100653.SG;CGG100678.SG;CGG100679.SG;CGG100682.SG;CGG100683.SG;CGG100686.SG;CGG100687.SG;CGG100689.SG;CGG100691.SG;CGG100692.SG;CGG100700.SG;CGG100747.SG;CGG100748.SG;CGG100749.SG;CGG100750.SG;CGG100751.SG;CGG100759.SG;CGG100797.SG;CGG100802.SG;CGG100820.SG;CGG100908.SG;CGG100914.SG;CGG100918.SG;CGG100920.SG;CGG100921.SG;CGG100926.SG;CGG100951.SG
Ahlgade 15-17 (Holbæk),55.72,11.71,25,88,1012,550,88-1012 BP,"1240k,ho",CGG101680.SG;CGG101689.SG;CGG101691.SG;CGG101808.SG;CGG101809.SG;CGG101811.SG;CGG101813.SG;CGG101822.SG;CGG101825.SG;CGG101827.SG;CGG101829.SG;CGG101833.SG;CGG101835.SG;CGG101837.SG;CGG101838.SG;CGG101839.SG;CGG101842.SG;CGG101843.SG;CGG101845.SG;CGG101850.SG;CGG101854.SG;CGG101855.SG;CGG101857.SG;CGG101864.SG;CGG101873.SG
Simonsborg (Zealand/ Alsted),55.40315,11.66018,21,1520,2008,1764,1520-2008 BP,"1240k,ho",CGG_2_106713.SG;CGG_2_106714.SG;CGG_2_106715.SG;CGG_2_106716.SG;CGG_2_106717.SG;CGG_2_106718.SG;CGG_2_106719.SG;CGG_2_106720.SG;CGG_2_106721.SG;CGG_2_106722.SG;CGG_2_106723.SG;CGG_2_106724.SG;CGG_2_106725.SG;CGG_2_106726.SG;CGG_2_106727.SG;CGG_2_106728.SG;CGG_2_106729.SG;CGG_2_106730.SG;CGG_2_106731.SG;CGG_2_106732.SG;CGG_2_106733.SG
Galgedil (Funen Region),55.5,10.33,16,820,1280,1050,820-1280 BP,"1240k,ho",VK133.SG;VK134.SG;VK135.SG;VK138.SG;VK139.SG;VK140.SG;VK141.SG;VK278.SG;VK279.SG;VK280.SG;VK370.SG;VK371.SG;VK372.SG;VK373.SG;VK411.SG;VK446.SG
Kopenhagen (Zealand Region),55.675268,12.568294,15,842,958,900,842-958 BP,"1240k,ho",KPN001.AG;KPN002.AG;KPN003.AG;KPN004.AG;KPN005.AG;KPN006.AG;KPN007.AG;KPN008.AG;KPN009.AG;KPN010.AG;KPN011.AG;KPN012.AG;KPN013.AG;KPN014.AG;KPN015.AG
Alken_Enge (Jutland),56.049,9.852,14,1414,2394,1904,1414-2394 BP,"1240k,ho",CGG_2_019201.SG;CGG_2_019202.SG;CGG_2_019203.SG;CGG_2_019204.SG;CGG_2_019205.SG;CGG_2_019206.SG;CGG_2_019208.SG;CGG_2_019209.SG;CGG_2_019210.SG;CGG_2_019211.SG;CGG_2_019212.SG;CGG_2_019214.SG;CGG_2_019215.SG;CGG_2_019216.SG
Lillevasby (Zealand),55.6691502,12.2092259,14,1520,6104,3812,1520-6104 BP,"1240k,ho",CGG_2_107453.SG;CGG_2_107454.SG;CGG_2_107455.SG;CGG_2_107456.SG;CGG_2_107457.SG;CGG_2_107458.SG;CGG_2_107459.SG;CGG_2_107460.SG;CGG_2_107461.SG;CGG_2_107462.SG;CGG_2_107463.SG;CGG_2_107464.SG;CGG_2_107465.SG;CGG_2_107466.SG
Bogevej (Langeland Region),54.87001,10.72,13,942,1058,1000,942-1058 BP,"1240k,ho",VK286.SG;VK288.SG;VK292.SG;VK320.SG;VK338.SG;VK361.SG;VK362.SG;VK363.SG;VK364.SG;VK365.SG;VK366.SG;VK367.SG;VK368.SG
Mosede Fort (Zealand),55.5644395,12.2745516,12,1520,2008,1764,1520-2008 BP,"1240k,ho",CGG_2_107486.SG;CGG_2_107487.SG;CGG_2_107488.SG;CGG_2_107489.SG;CGG_2_107490.SG;CGG_2_107492.SG;CGG_2_107494.SG;CGG_2_107495.SG;CGG_2_107496.SG;CGG_2_107497.SG;CGG_2_107498.SG;CGG_2_107499.SG
